"","sampledate","daynum","Yr","extTotP_kgday"
"562",2021-08-08,220,2021,37.9245660718072
"563",2021-08-09,221,2021,78.8499929729553
"564",2021-08-10,222,2021,53.8121456951606
"565",2021-08-11,223,2021,49.5291890654726
"566",2021-08-12,224,2021,35.0937119273277
"567",2021-08-13,225,2021,28.5720602412027
"568",2021-08-14,226,2021,25.8899578419185
"569",2021-08-15,227,2021,23.2554315058602
"570",2021-08-16,228,2021,22.5556210359992
"571",2021-08-17,229,2021,21.6813919132826
"572",2021-08-18,230,2021,21.3373841431472
"573",2021-08-19,231,2021,20.9239426244595
"574",2021-08-20,232,2021,19.8629225280124
"575",2021-08-21,233,2021,31.6277617353874
"576",2021-08-22,234,2021,22.0437049443999
"577",2021-08-23,235,2021,26.9644814058864
"578",2021-08-24,236,2021,32.692741841126
"579",2021-08-25,237,2021,23.0481651606838
"580",2021-08-26,238,2021,21.0842714620257
"581",2021-08-27,239,2021,27.0303504050269
"582",2021-08-28,240,2021,28.5771314557502
"583",2021-08-29,241,2021,23.1903159590765
"584",2021-08-30,242,2021,22.2553579953957
"585",2021-08-31,243,2021,22.5189860483028
"586",2021-09-01,244,2021,21.4000164180922
"587",2021-09-02,245,2021,20.5892440655025
"588",2021-09-03,246,2021,24.2342618818864
"589",2021-09-04,247,2021,23.3501544892106
"590",2021-09-05,248,2021,20.2355992433746
"591",2021-09-06,249,2021,21.3065866792016
"592",2021-09-07,250,2021,24.9197295466302
"593",2021-09-08,251,2021,20.6490358689158
"594",2021-09-09,252,2021,20.3855252515242
"595",2021-09-10,253,2021,19.9936086842023
"596",2021-09-11,254,2021,20.1805170934483
"597",2021-09-12,255,2021,21.3390992831894
"598",2022-07-14,195,2022,22.3782591555358
"599",2022-07-15,196,2022,45.4465787375057
"600",2022-07-16,197,2022,36.3320187165881
"601",2022-07-17,198,2022,23.3413282457447
"602",2022-07-18,199,2022,21.9052631510391
"603",2022-07-19,200,2022,16.8865340665502
